custom/env,custom/agent_name,custom/seed,rollout/ep_rew_mean,time/total_timesteps,custom/agent_type,time/iterations,rollout/ep_len_mean,time/fps,custom/pamdp_timestep,custom/cycle,time/time_elapsed,train/clip_range,train/std,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss
,,,0.37422071,169984,"continuous",2,4.0,222,339968,,18,0.2,0.8113511204719543,0.9678991548717022,0.14208984375,0.0017226015799678863,820,-0.015444042161107063,0.016694538,0.0003,0.0003104790231411414,-3.2454460851848124
,,,0.37249339,172032,"continuous",3,4.0,223,342016,,27,0.2,0.8174808621406555,0.977146428078413,0.1345703125,0.001250090000758064,830,0.006371073424816132,0.009635318,0.0003,0.00020975705413590618,-3.231919311732054
"Platform-v0","PPO-PPO",1,0.37577503999999995,174080,"continuous",1,4.0,217,350208,28,9,0.2,0.8060131669044495,0.9788020607084036,0.19970703125,0.002350055040733423,840,-0.009986350312829018,0.017325444,0.0003,0.00020732214923881997,-3.211343628913164
,,,0.37437145999999993,176128,"continuous",2,4.0,219,352256,,18,0.2,0.8084794878959656,0.99336445517838,0.2560546875,-0.01757304729690077,850,-0.029800429940223694,0.019931467,0.0003,6.416804029356627e-05,-3.1820041202008724
,,,0.37225378,178176,"continuous",3,4.0,221,354304,,27,0.2,0.8121474385261536,0.9814391564577818,0.234033203125,0.002250356797594577,860,0.06296120584011078,0.016273372,0.0003,0.00021078829837080094,-3.176954324543476
"Platform-v0","PPO-PPO",1,0.37312040000000013,180224,"continuous",1,4.0,224,362496,29,9,0.2,0.8205711245536804,0.9560898020863533,0.226123046875,-0.0018621675175381825,870,-0.010941647924482822,0.012710082,0.0003,0.0005164789891246357,-3.1901460230350493
,,,0.37327611000000005,182272,"continuous",2,4.0,223,364544,,18,0.2,0.8255794644355774,0.9664593301713467,0.21552734375,-0.0012222398130688817,880,-0.002045271685346961,0.04171548,0.0003,0.00032899262539842766,-3.201669081300497
,,,0.37448834999999997,184320,"continuous",3,4.0,221,366592,,27,0.2,0.827497661113739,0.9814111050218344,0.2126953125,0.003076993419381324,890,-0.0005271884729154408,0.017751798,0.0003,0.0001785480126258676,-3.205189634114504
"Platform-v0","PPO-PPO",1,0.32527643000000006,186368,"continuous",1,4.0,276,374784,30,7,0.2,0.8287010192871094,0.9840673226863146,0.16142578125,0.004698663399904035,900,-0.036435503512620926,0.00788325,0.0003,0.00014981451401467892,-3.205267154425383
,,,0.31539035000000004,188416,"continuous",2,3.99,272,376832,,15,0.2,0.8259591460227966,0.7271418869495392,0.09306640625,0.0033950792188989,910,0.031179867684841156,0.006004627,0.0003,0.003813247151992982,-3.1903090558946134
,,,0.32151552,190464,"continuous",3,3.99,265,378880,,23,0.2,0.828585147857666,0.7158330678939819,0.113623046875,0.00233463314070832,920,-0.010749705135822296,0.006869848,0.0003,0.0037448153365403415,-3.1781556099653243
"Platform-v0","PPO-PPO",1,0.3708654500000001,192512,"continuous",1,4.0,230,387072,31,8,0.2,0.8289359211921692,0.7173935174942017,0.075439453125,0.0033282855496509,930,0.0011079706018790603,0.009977959,0.0003,0.0036692143250547813,-3.1676177754998207
,,,0.37496526,194560,"continuous",2,4.0,224,389120,,18,0.2,0.8321619629859924,0.9586095288395882,0.170361328125,0.0013663193487445824,940,0.007912995293736458,0.014607039,0.0003,0.00045437000463763864,-3.1613602161407472
,,,0.37471587,196608,"continuous",3,4.0,222,391168,,27,0.2,0.8305602073669434,0.9471210539340973,0.214111328125,-0.00104404784651706,950,-0.03386765345931053,0.010676623,0.0003,0.0005256846031052476,-3.150995994359255
